date,book,chapter_slug,command,word_count,sources_count,mechanism_explained,concept_specified,voice_plugin,pantry_hit_count
2026-05-02,branding-and-ai,chapter-01-the-creative-engineer,/chapter,3200,5,"Spence signaling theory applied to AI-disrupted labor market","Creative Engineer = ideate/build/brand/ship",feynman,3
2026-05-02,branding-and-ai,chapter-02-the-madison-framework,/chapter,3000,5,"Architecture choices become brand surfaces — legible boundaries create namable product surfaces; the Madison five-layer structure was both engineering and brand work","agent = role-in-pipeline (not autonomous), Madison = 5 layers + orchestration",feynman,4
2026-05-02,branding-and-ai,chapter-03-jungian-brand-archetypes-as-a-system,/chapter,3300,4,"Archetype as forced specification — a constraint that makes brand decisions decidable; without it brands drift and customers lose recognition handles","brand archetype = strategic anchor (Mark/Pearson 12), distinguished from Jungian psych and personality typology",feynman,2
2026-05-02,branding-and-ai,chapter-04-product-requirements-and-scope,/chapter,3000,3,"Scope as creative constraint — every yes to a feature is a no to shipping the core; PRD discipline produces compounding advantage and brand surface","PRD = one-page contract: problem, gap, tool, MVP boundary; MVP = smallest thing that produces validated learning",feynman,1
2026-05-02,branding-and-ai,chapter-05-data-pipelines-and-workflow-automation,/chapter,3100,3,"Pipeline fragility as a brand problem — every external dependency is a contract you don't control; when contracts change, downstream tools fail and brand damage flows downhill","data pipeline = chain of contracts (n8n makes the contracts visible)",feynman,2
2026-05-02,branding-and-ai,chapter-06-ai-intelligence-and-multi-agent-systems,/chapter,3300,3,"Autonomy vs orchestration trade-off — autonomy buys flexibility at the cost of predictability, and the choice IS a brand decision (transparent collaboration vs delivered competence)","multi-agent system = specialized roles + coordination mechanism + handoff protocol; CrewAI role/goal/backstory pattern as canonical",feynman,2
2026-05-02,branding-and-ai,chapter-07-interface-design-and-deployment,/chapter,3300,4,"Interface compounds at session frequency, features at use frequency — interface misalignment damages brand faster than feature failure (Bard $100B in two days)","interface = UI + interaction model + deployment + brand surface",feynman,1
2026-05-02,branding-and-ai,chapter-08-PERSONAL-brand-strategy,/chapter,2900,2,"Negative space is the brand — personal brand consistency comes from what you decline; archetype is the rule that decides","brand strategy = mission/vision/values/UVP/archetype/voice/positioning + the no-list",feynman,1
2026-05-02,branding-and-ai,chapter-08-STARTUP-brand-strategy,/chapter,3100,2,"Negative space is the brand — startup brand coherence at scale comes from what the company declines to build/sell/say","startup brand strategy = mission/vision/values/UVP/archetype/voice/positioning + named no-list + name testing",feynman,1
2026-05-02,branding-and-ai,chapter-09-visual-identity-systems,/chapter,3300,3,"Visual elements perceived in archetypal context — match between visual decisions and archetype produces brand coherence; mismatch produces dissonance the user feels but cannot articulate","visual identity = system (logo + palette + typography + imagery + layout) downstream of brand strategy; creative brief = strategy-to-design translation",feynman,1
2026-05-02,branding-and-ai,chapter-10-brand-storytelling,/chapter,3300,3,"Story shape carries archetypal commitments — Hero's Journey, Quest, Methodology, Service, Rebellion each fit specific archetypes; mismatch produces narrative dissonance the audience reads as false","brand storytelling = origin + customer + transformation; customer-as-hero + brand-as-guide; archetype constrains shape",feynman,1
2026-05-02,branding-and-ai,chapter-11-portfolio-as-product,/chapter,3500,2,"Portfolio compounds across uses — total brand impressions = time invested × times referenced; well-designed portfolios get cloned, shared, and templated, generating returns for years","portfolio = designed product (audience + structure + narrative + craft); not resume + screenshots",feynman,1
2026-05-02,branding-and-ai,chapter-12-professional-presence-and-launch,/chapter,3500,2,"Integrated pitch density — 10 minutes of pitching builds an impression that would otherwise need months of LinkedIn scrolling; coherence (every slide answering the same question) beats polish","professional presence = resume(×2) + portfolio + LinkedIn + pitch deck + live delivery + followup; Kawasaki 10/20/30",feynman,1
